method,number_feature,in_safari,accuracy,auc,f1,mcc
co_expression_10,240,9,0.624,0.6,0.703,0.219
co_expression_10,250,9,0.559,0.532,0.658,0.072
co_expression_10,260,10,0.548,0.521,0.65,0.048
co_expression_10,270,10,0.634,0.606,0.721,0.244
co_expression_10,280,11,0.618,0.593,0.703,0.207
co_expression_10,290,11,0.613,0.585,0.702,0.194
co_expression_10,300,11,0.624,0.599,0.706,0.219
co_expression_10,310,11,0.634,0.611,0.712,0.243
co_expression_10,320,11,0.597,0.571,0.686,0.158
co_expression_10,330,12,0.613,0.587,0.7,0.194
co_expression_10,340,12,0.618,0.593,0.703,0.207
co_expression_10,350,12,0.613,0.587,0.7,0.194
co_expression_10,360,13,0.618,0.593,0.703,0.207
co_expression_10,370,13,0.634,0.611,0.712,0.243
co_expression_10,380,14,0.645,0.618,0.727,0.268
co_expression_10,390,14,0.656,0.629,0.736,0.293
co_expression_10,400,15,0.672,0.646,0.747,0.329
co_expression_10,410,15,0.651,0.626,0.728,0.28
co_expression_10,420,16,0.629,0.608,0.704,0.232
co_expression_10,430,16,0.645,0.622,0.72,0.267
co_expression_10,440,16,0.656,0.634,0.726,0.291
co_expression_10,450,16,0.651,0.627,0.726,0.279
co_expression_10,460,16,0.618,0.598,0.693,0.209
co_expression_10,470,18,0.651,0.628,0.723,0.279
co_expression_10,480,18,0.645,0.621,0.723,0.267
co_expression_10,490,19,0.645,0.621,0.723,0.267
co_expression_10,500,19,0.629,0.605,0.709,0.231
HPO_85,10,0,0.548,0.507,0.679,0.02
HPO_85,20,1,0.511,0.486,0.613,-0.03
HPO_85,30,1,0.548,0.524,0.644,0.052
HPO_85,40,1,0.543,0.517,0.644,0.037
HPO_85,50,1,0.548,0.521,0.65,0.048
HPO_85,60,1,0.565,0.531,0.677,0.075
HPO_85,70,1,0.613,0.584,0.705,0.194
HPO_85,80,2,0.581,0.55,0.683,0.117
HPO_85,90,3,0.586,0.559,0.68,0.133
HPO_85,100,3,0.565,0.541,0.655,0.089
HPO_85,110,3,0.613,0.589,0.695,0.195
HPO_85,120,3,0.608,0.583,0.692,0.183
HPO_85,130,3,0.597,0.571,0.686,0.158
HPO_85,140,4,0.581,0.553,0.678,0.12
HPO_85,150,5,0.581,0.554,0.675,0.121
HPO_85,160,6,0.565,0.536,0.667,0.082
HPO_85,170,6,0.581,0.555,0.672,0.122
HPO_85,180,8,0.575,0.548,0.672,0.108
HPO_85,190,8,0.634,0.612,0.709,0.243
HPO_85,200,8,0.618,0.595,0.698,0.208
HPO_85,210,8,0.645,0.622,0.72,0.267
HPO_85,220,8,0.575,0.552,0.664,0.113
HPO_85,230,8,0.57,0.548,0.655,0.104
HPO_85,240,8,0.548,0.521,0.65,0.048
HPO_85,250,8,0.543,0.515,0.647,0.034
HPO_85,260,9,0.543,0.514,0.65,0.032
HPO_85,270,9,0.538,0.509,0.645,0.021
HPO_85,280,10,0.538,0.509,0.645,0.021
HPO_85,290,10,0.586,0.56,0.678,0.134
HPO_85,300,10,0.618,0.59,0.708,0.206
HPO_85,310,10,0.597,0.57,0.689,0.157
HPO_85,320,10,0.591,0.566,0.681,0.147
HPO_85,330,11,0.591,0.565,0.683,0.145
HPO_85,340,11,0.608,0.582,0.695,0.182
HPO_85,350,12,0.602,0.576,0.692,0.17
HPO_85,360,12,0.608,0.583,0.692,0.183
HPO_85,370,12,0.565,0.536,0.667,0.082
HPO_85,380,12,0.634,0.61,0.714,0.243
HPO_85,390,13,0.581,0.554,0.675,0.121
HPO_85,400,14,0.629,0.609,0.701,0.232
HPO_85,410,14,0.575,0.552,0.664,0.113
HPO_85,420,14,0.629,0.606,0.706,0.231
HPO_85,430,14,0.645,0.625,0.716,0.267
HPO_85,440,14,0.629,0.605,0.709,0.231
HPO_85,450,15,0.602,0.581,0.681,0.174
HPO_85,460,16,0.624,0.602,0.701,0.22
HPO_85,470,17,0.634,0.611,0.712,0.243
HPO_85,480,18,0.64,0.621,0.707,0.256
HPO_85,490,19,0.645,0.627,0.711,0.268
HPO_85,500,19,0.661,0.64,0.73,0.302
pubmed_60,10,0,0.548,0.507,0.679,0.02
pubmed_60,20,1,0.538,0.499,0.667,-0.003
pubmed_60,30,1,0.602,0.58,0.684,0.173
pubmed_60,40,1,0.575,0.547,0.675,0.107
pubmed_60,50,1,0.559,0.534,0.655,0.074
pubmed_60,60,1,0.559,0.523,0.677,0.058
pubmed_60,70,1,0.565,0.531,0.677,0.075
pubmed_60,80,3,0.554,0.522,0.664,0.052
pubmed_60,90,4,0.575,0.549,0.669,0.11
pubmed_60,100,4,0.581,0.557,0.669,0.124
pubmed_60,110,4,0.575,0.551,0.667,0.111
pubmed_60,120,5,0.597,0.574,0.681,0.16
pubmed_60,130,6,0.597,0.572,0.684,0.159
pubmed_60,140,6,0.591,0.569,0.675,0.149
pubmed_60,150,6,0.591,0.569,0.675,0.149
pubmed_60,160,7,0.554,0.53,0.647,0.065
pubmed_60,170,7,0.543,0.519,0.638,0.042
pubmed_60,180,7,0.548,0.525,0.641,0.055
pubmed_60,190,7,0.57,0.547,0.658,0.102
pubmed_60,200,7,0.602,0.577,0.689,0.171
pubmed_60,210,7,0.613,0.587,0.7,0.194
pubmed_60,220,7,0.629,0.599,0.721,0.232
pubmed_60,230,8,0.554,0.527,0.653,0.061
pubmed_60,240,8,0.64,0.612,0.724,0.256
pubmed_60,250,8,0.634,0.607,0.719,0.243
pubmed_60,260,8,0.624,0.598,0.708,0.219
pubmed_60,270,8,0.602,0.581,0.681,0.174
pubmed_60,280,8,0.624,0.598,0.708,0.219
pubmed_60,290,9,0.608,0.583,0.692,0.183
pubmed_60,300,9,0.629,0.604,0.711,0.231
pubmed_60,310,9,0.634,0.609,0.717,0.243
pubmed_60,320,9,0.624,0.598,0.708,0.219
pubmed_60,330,9,0.651,0.627,0.726,0.279
pubmed_60,340,10,0.656,0.632,0.731,0.291
pubmed_60,350,10,0.651,0.627,0.726,0.279
pubmed_60,360,11,0.651,0.626,0.728,0.28
pubmed_60,370,11,0.656,0.633,0.729,0.291
pubmed_60,380,11,0.64,0.617,0.715,0.255
pubmed_60,390,11,0.667,0.644,0.737,0.315
pubmed_60,400,12,0.672,0.65,0.74,0.326
pubmed_60,410,12,0.624,0.602,0.701,0.22
pubmed_60,420,12,0.629,0.605,0.709,0.231
pubmed_60,430,13,0.613,0.589,0.695,0.195
pubmed_60,440,14,0.661,0.639,0.732,0.303
pubmed_60,450,16,0.624,0.602,0.701,0.22
pubmed_60,460,17,0.629,0.608,0.704,0.232
pubmed_60,470,17,0.608,0.585,0.689,0.184
pubmed_60,480,17,0.608,0.585,0.689,0.184
pubmed_60,490,17,0.629,0.608,0.704,0.232
pubmed_60,500,17,0.64,0.62,0.71,0.256
joint_interaction_70,10,0,0.559,0.5,0.717,0.0
joint_interaction_70,20,1,0.554,0.527,0.653,0.061
joint_interaction_70,30,1,0.629,0.609,0.701,0.232
joint_interaction_70,40,1,0.559,0.531,0.661,0.07
joint_interaction_70,50,1,0.554,0.527,0.653,0.061
joint_interaction_70,60,1,0.591,0.559,0.696,0.141
joint_interaction_70,70,1,0.602,0.571,0.702,0.168
joint_interaction_70,80,2,0.581,0.548,0.688,0.115
joint_interaction_70,90,3,0.591,0.561,0.691,0.143
joint_interaction_70,100,3,0.559,0.531,0.661,0.07
joint_interaction_70,110,3,0.586,0.56,0.678,0.134
joint_interaction_70,120,4,0.554,0.529,0.65,0.063
joint_interaction_70,130,5,0.57,0.543,0.667,0.097
joint_interaction_70,140,5,0.586,0.56,0.678,0.134
joint_interaction_70,150,5,0.575,0.548,0.672,0.108
joint_interaction_70,160,7,0.581,0.557,0.669,0.124
joint_interaction_70,170,8,0.57,0.546,0.661,0.1
joint_interaction_70,180,8,0.543,0.518,0.641,0.039
joint_interaction_70,190,8,0.543,0.517,0.644,0.037
joint_interaction_70,200,8,0.597,0.57,0.689,0.157
joint_interaction_70,210,8,0.565,0.536,0.667,0.082
joint_interaction_70,220,8,0.554,0.525,0.658,0.057
joint_interaction_70,230,9,0.548,0.517,0.659,0.041
joint_interaction_70,240,10,0.554,0.525,0.658,0.057
joint_interaction_70,250,10,0.554,0.525,0.658,0.057
joint_interaction_70,260,11,0.565,0.536,0.667,0.082
joint_interaction_70,270,11,0.629,0.597,0.723,0.233
joint_interaction_70,280,11,0.613,0.584,0.705,0.194
joint_interaction_70,290,11,0.608,0.581,0.697,0.182
joint_interaction_70,300,11,0.613,0.585,0.702,0.194
joint_interaction_70,310,11,0.608,0.581,0.697,0.182
joint_interaction_70,320,11,0.602,0.575,0.694,0.169
joint_interaction_70,330,11,0.624,0.596,0.711,0.219
joint_interaction_70,340,12,0.634,0.609,0.717,0.243
joint_interaction_70,350,12,0.618,0.589,0.71,0.206
joint_interaction_70,360,12,0.57,0.543,0.667,0.097
joint_interaction_70,370,13,0.57,0.543,0.667,0.097
joint_interaction_70,380,13,0.581,0.553,0.678,0.12
joint_interaction_70,390,13,0.597,0.568,0.691,0.156
joint_interaction_70,400,13,0.64,0.612,0.724,0.256
joint_interaction_70,410,13,0.57,0.543,0.667,0.097
joint_interaction_70,420,13,0.629,0.605,0.709,0.231
joint_interaction_70,430,14,0.634,0.611,0.712,0.243
joint_interaction_70,440,14,0.64,0.615,0.72,0.255
joint_interaction_70,450,14,0.618,0.593,0.703,0.207
joint_interaction_70,460,15,0.618,0.594,0.7,0.207
joint_interaction_70,470,15,0.613,0.588,0.697,0.195
joint_interaction_70,480,15,0.608,0.583,0.692,0.183
joint_interaction_70,490,19,0.624,0.6,0.703,0.219
joint_interaction_70,500,19,0.618,0.597,0.695,0.208
GOcc_75,10,0,0.505,0.494,0.57,-0.011
GOcc_75,20,0,0.505,0.489,0.586,-0.022
GOcc_75,30,0,0.608,0.594,0.67,0.192
GOcc_75,40,1,0.559,0.536,0.65,0.078
GOcc_75,50,1,0.608,0.573,0.711,0.181
GOcc_75,60,1,0.597,0.565,0.699,0.155
GOcc_75,70,1,0.565,0.536,0.667,0.082
GOcc_75,80,1,0.591,0.564,0.686,0.144
GOcc_75,90,1,0.602,0.571,0.702,0.168
GOcc_75,100,1,0.591,0.56,0.694,0.142
GOcc_75,110,2,0.554,0.53,0.647,0.065
GOcc_75,120,3,0.559,0.535,0.653,0.076
GOcc_75,130,4,0.548,0.525,0.641,0.055
GOcc_75,140,4,0.543,0.518,0.641,0.039
GOcc_75,150,4,0.645,0.618,0.727,0.268
GOcc_75,160,4,0.661,0.636,0.736,0.304
GOcc_75,170,6,0.672,0.646,0.747,0.329
GOcc_75,180,6,0.672,0.649,0.743,0.327
GOcc_75,190,6,0.645,0.621,0.723,0.267
GOcc_75,200,6,0.656,0.63,0.733,0.292
GOcc_75,210,8,0.651,0.622,0.735,0.282
GOcc_75,220,8,0.64,0.612,0.724,0.256
GOcc_75,230,8,0.624,0.599,0.706,0.219
GOcc_75,240,9,0.629,0.602,0.714,0.231
GOcc_75,250,10,0.645,0.623,0.718,0.267
GOcc_75,260,10,0.645,0.618,0.727,0.268
GOcc_75,270,10,0.629,0.6,0.718,0.232
GOcc_75,280,10,0.613,0.588,0.697,0.195
GOcc_75,290,10,0.629,0.601,0.716,0.231
GOcc_75,300,11,0.618,0.594,0.7,0.207
GOcc_75,310,12,0.613,0.587,0.7,0.194
GOcc_75,320,14,0.608,0.583,0.692,0.183
GOcc_75,330,14,0.608,0.582,0.695,0.182
GOcc_75,340,14,0.64,0.615,0.72,0.255
GOcc_75,350,15,0.629,0.605,0.709,0.231
GOcc_75,360,15,0.634,0.609,0.717,0.243
GOcc_75,370,16,0.591,0.568,0.678,0.148
GOcc_75,380,16,0.602,0.578,0.686,0.172
GOcc_75,390,16,0.629,0.605,0.709,0.231
GOcc_75,400,16,0.608,0.583,0.692,0.183
GOcc_75,410,18,0.608,0.583,0.692,0.183
GOcc_75,420,18,0.602,0.577,0.689,0.171
GOcc_75,430,18,0.613,0.591,0.692,0.196
GOcc_75,440,20,0.608,0.586,0.687,0.185
GOcc_75,450,20,0.591,0.57,0.672,0.15
GOcc_75,460,20,0.586,0.563,0.672,0.137
GOcc_75,470,20,0.602,0.578,0.686,0.172
GOcc_75,480,20,0.575,0.556,0.655,0.118
GOcc_75,490,20,0.591,0.569,0.675,0.149
GOcc_75,500,21,0.597,0.575,0.678,0.161
auc,10,1,0.575,0.536,0.695,0.097
auc,20,3,0.613,0.579,0.714,0.195
auc,30,5,0.581,0.545,0.693,0.113
auc,40,7,0.559,0.525,0.675,0.06
auc,50,8,0.57,0.539,0.675,0.092
auc,60,9,0.586,0.552,0.693,0.128
auc,70,10,0.586,0.552,0.693,0.128
auc,80,11,0.608,0.585,0.689,0.184
auc,90,13,0.575,0.54,0.688,0.1
auc,100,13,0.575,0.54,0.688,0.1
auc,110,15,0.602,0.576,0.692,0.17
auc,120,18,0.613,0.587,0.7,0.194
auc,130,18,0.629,0.602,0.714,0.231
auc,140,18,0.624,0.596,0.711,0.219
auc,150,19,0.651,0.631,0.719,0.279
auc,160,19,0.651,0.631,0.719,0.279
auc,170,19,0.613,0.591,0.692,0.196
auc,180,20,0.624,0.602,0.701,0.22
auc,190,22,0.672,0.654,0.734,0.325
auc,200,22,0.683,0.663,0.745,0.349
auc,210,22,0.661,0.64,0.73,0.302
auc,220,23,0.651,0.635,0.711,0.28
auc,230,23,0.699,0.679,0.759,0.384
auc,240,27,0.677,0.656,0.744,0.338
auc,250,27,0.629,0.61,0.699,0.233
auc,260,27,0.618,0.599,0.69,0.21
auc,270,30,0.613,0.593,0.687,0.198
auc,280,30,0.64,0.62,0.71,0.256
auc,290,31,0.618,0.601,0.687,0.211
auc,300,31,0.624,0.607,0.69,0.223
auc,310,31,0.618,0.598,0.693,0.209
auc,320,32,0.602,0.582,0.678,0.175
auc,330,34,0.602,0.582,0.678,0.175
auc,340,35,0.608,0.588,0.681,0.187
auc,350,38,0.618,0.599,0.69,0.21
auc,360,38,0.602,0.582,0.678,0.175
auc,370,40,0.597,0.576,0.675,0.163
auc,380,40,0.597,0.575,0.678,0.161
auc,390,41,0.629,0.608,0.704,0.232
auc,400,42,0.624,0.602,0.701,0.22
auc,410,43,0.64,0.62,0.71,0.256
auc,420,45,0.634,0.612,0.709,0.243
auc,430,45,0.634,0.611,0.712,0.243
auc,440,45,0.651,0.628,0.723,0.279
auc,450,45,0.634,0.611,0.712,0.243
auc,460,45,0.661,0.638,0.734,0.303
auc,470,45,0.656,0.632,0.731,0.291
auc,480,46,0.645,0.622,0.72,0.267
auc,490,48,0.629,0.605,0.709,0.231
auc,500,49,0.634,0.611,0.712,0.243
co_expression_65,10,0,0.618,0.581,0.724,0.211
co_expression_65,20,1,0.527,0.509,0.611,0.018
co_expression_65,30,1,0.527,0.503,0.624,0.007
co_expression_65,40,1,0.575,0.545,0.678,0.105
co_expression_65,50,1,0.608,0.577,0.704,0.181
co_expression_65,60,1,0.586,0.552,0.693,0.128
co_expression_65,70,1,0.57,0.534,0.685,0.086
co_expression_65,80,2,0.565,0.532,0.675,0.076
co_expression_65,90,2,0.624,0.594,0.715,0.219
co_expression_65,100,2,0.608,0.577,0.704,0.181
co_expression_65,110,3,0.586,0.556,0.686,0.131
co_expression_65,120,3,0.602,0.578,0.686,0.172
co_expression_65,130,5,0.575,0.552,0.664,0.113
co_expression_65,140,6,0.565,0.54,0.658,0.087
co_expression_65,150,6,0.597,0.571,0.686,0.158
co_expression_65,160,6,0.602,0.577,0.689,0.171
co_expression_65,170,6,0.651,0.629,0.721,0.279
co_expression_65,180,6,0.575,0.552,0.664,0.113
co_expression_65,190,6,0.651,0.629,0.721,0.279
co_expression_65,200,7,0.629,0.606,0.706,0.231
co_expression_65,210,8,0.624,0.6,0.703,0.219
co_expression_65,220,9,0.602,0.58,0.684,0.173
co_expression_65,230,11,0.608,0.587,0.684,0.186
co_expression_65,240,11,0.64,0.615,0.72,0.255
co_expression_65,250,11,0.629,0.604,0.711,0.231
co_expression_65,260,11,0.613,0.593,0.687,0.198
co_expression_65,270,12,0.667,0.65,0.726,0.314
co_expression_65,280,12,0.661,0.636,0.736,0.304
co_expression_65,290,12,0.661,0.638,0.734,0.303
co_expression_65,300,12,0.656,0.63,0.733,0.292
co_expression_65,310,12,0.672,0.647,0.745,0.328
co_expression_65,320,12,0.661,0.636,0.736,0.304
co_expression_65,330,12,0.656,0.636,0.724,0.291
co_expression_65,340,12,0.645,0.625,0.716,0.267
co_expression_65,350,12,0.64,0.615,0.72,0.255
co_expression_65,360,12,0.629,0.604,0.711,0.231
co_expression_65,370,12,0.624,0.602,0.701,0.22
co_expression_65,380,12,0.64,0.619,0.712,0.255
co_expression_65,390,12,0.629,0.608,0.704,0.232
co_expression_65,400,13,0.634,0.612,0.709,0.243
co_expression_65,410,13,0.629,0.606,0.706,0.231
co_expression_65,420,13,0.618,0.597,0.695,0.208
co_expression_65,430,13,0.624,0.603,0.698,0.22
co_expression_65,440,13,0.634,0.611,0.712,0.243
co_expression_65,450,14,0.645,0.622,0.72,0.267
co_expression_65,460,15,0.656,0.632,0.731,0.291
co_expression_65,470,15,0.645,0.622,0.72,0.267
co_expression_65,480,17,0.651,0.629,0.721,0.279
co_expression_65,490,18,0.656,0.633,0.729,0.291
co_expression_65,500,18,0.651,0.628,0.723,0.279
HPO_5,10,0,0.548,0.507,0.679,0.02
HPO_5,20,1,0.527,0.509,0.611,0.018
HPO_5,30,1,0.57,0.543,0.667,0.097
HPO_5,40,1,0.575,0.545,0.678,0.105
HPO_5,50,1,0.527,0.496,0.642,-0.01
HPO_5,60,1,0.543,0.509,0.661,0.021
HPO_5,70,1,0.559,0.525,0.675,0.06
HPO_5,80,2,0.597,0.567,0.694,0.156
HPO_5,90,3,0.591,0.562,0.689,0.144
HPO_5,100,3,0.602,0.575,0.694,0.169
HPO_5,110,4,0.597,0.57,0.689,0.157
HPO_5,120,4,0.602,0.576,0.692,0.17
HPO_5,130,5,0.565,0.538,0.661,0.085
HPO_5,140,5,0.586,0.561,0.675,0.135
HPO_5,150,7,0.565,0.54,0.658,0.087
HPO_5,160,7,0.575,0.549,0.669,0.11
HPO_5,170,7,0.581,0.555,0.672,0.122
HPO_5,180,9,0.554,0.53,0.647,0.065
HPO_5,190,9,0.667,0.641,0.742,0.316
HPO_5,200,9,0.656,0.634,0.726,0.291
HPO_5,210,9,0.661,0.636,0.736,0.304
HPO_5,220,9,0.608,0.581,0.697,0.182
HPO_5,230,9,0.608,0.583,0.692,0.183
HPO_5,240,9,0.559,0.531,0.661,0.07
HPO_5,250,9,0.575,0.548,0.672,0.108
HPO_5,260,10,0.548,0.521,0.65,0.048
HPO_5,270,10,0.602,0.573,0.697,0.169
HPO_5,280,11,0.602,0.576,0.692,0.17
HPO_5,290,11,0.602,0.576,0.692,0.17
HPO_5,300,11,0.624,0.596,0.711,0.219
HPO_5,310,11,0.618,0.59,0.708,0.206
HPO_5,320,11,0.597,0.571,0.686,0.158
HPO_5,330,12,0.618,0.592,0.705,0.206
HPO_5,340,12,0.618,0.593,0.703,0.207
HPO_5,350,12,0.618,0.593,0.703,0.207
HPO_5,360,13,0.624,0.599,0.706,0.219
HPO_5,370,13,0.651,0.623,0.733,0.281
HPO_5,380,13,0.645,0.622,0.72,0.267
HPO_5,390,14,0.651,0.624,0.73,0.28
HPO_5,400,15,0.651,0.624,0.73,0.28
HPO_5,410,16,0.634,0.611,0.712,0.243
HPO_5,420,16,0.624,0.602,0.701,0.22
HPO_5,430,16,0.645,0.623,0.718,0.267
HPO_5,440,16,0.667,0.645,0.735,0.314
HPO_5,450,16,0.656,0.633,0.729,0.291
HPO_5,460,16,0.602,0.581,0.681,0.174
HPO_5,470,17,0.602,0.582,0.678,0.175
HPO_5,480,18,0.651,0.627,0.726,0.279
HPO_5,490,19,0.624,0.6,0.703,0.219
HPO_5,500,20,0.629,0.606,0.706,0.231
GObp_5,10,0,0.548,0.507,0.679,0.02
GObp_5,20,1,0.527,0.509,0.611,0.018
GObp_5,30,1,0.559,0.534,0.655,0.074
GObp_5,40,1,0.575,0.545,0.678,0.105
GObp_5,50,1,0.543,0.514,0.65,0.032
GObp_5,60,1,0.608,0.576,0.707,0.181
GObp_5,70,1,0.565,0.531,0.677,0.075
GObp_5,80,1,0.575,0.543,0.683,0.103
GObp_5,90,3,0.591,0.562,0.689,0.144
GObp_5,100,4,0.597,0.568,0.691,0.156
GObp_5,110,4,0.608,0.583,0.692,0.183
GObp_5,120,4,0.597,0.57,0.689,0.157
GObp_5,130,4,0.591,0.566,0.681,0.147
GObp_5,140,5,0.597,0.572,0.684,0.159
GObp_5,150,6,0.57,0.546,0.661,0.1
GObp_5,160,7,0.581,0.557,0.669,0.124
GObp_5,170,7,0.554,0.53,0.647,0.065
GObp_5,180,9,0.57,0.544,0.664,0.098
GObp_5,190,9,0.667,0.641,0.742,0.316
GObp_5,200,9,0.629,0.606,0.706,0.231
GObp_5,210,9,0.656,0.63,0.733,0.292
GObp_5,220,9,0.597,0.57,0.689,0.157
GObp_5,230,9,0.608,0.581,0.697,0.182
GObp_5,240,9,0.645,0.617,0.73,0.269
GObp_5,250,9,0.645,0.618,0.727,0.268
GObp_5,260,10,0.554,0.527,0.653,0.061
GObp_5,270,10,0.618,0.593,0.703,0.207
GObp_5,280,10,0.613,0.587,0.7,0.194
GObp_5,290,11,0.613,0.585,0.702,0.194
GObp_5,300,11,0.629,0.605,0.709,0.231
GObp_5,310,11,0.629,0.602,0.714,0.231
GObp_5,320,11,0.597,0.571,0.686,0.158
GObp_5,330,11,0.613,0.587,0.7,0.194
GObp_5,340,12,0.618,0.593,0.703,0.207
GObp_5,350,12,0.608,0.581,0.697,0.182
GObp_5,360,13,0.629,0.604,0.711,0.231
GObp_5,370,13,0.613,0.584,0.705,0.194
GObp_5,380,14,0.645,0.618,0.727,0.268
GObp_5,390,15,0.645,0.621,0.723,0.267
GObp_5,400,15,0.64,0.615,0.72,0.255
GObp_5,410,16,0.651,0.627,0.726,0.279
GObp_5,420,16,0.645,0.622,0.72,0.267
GObp_5,430,16,0.64,0.617,0.715,0.255
GObp_5,440,16,0.64,0.616,0.717,0.255
GObp_5,450,16,0.651,0.627,0.726,0.279
GObp_5,460,16,0.645,0.622,0.72,0.267
GObp_5,470,17,0.651,0.627,0.726,0.279
GObp_5,480,18,0.651,0.626,0.728,0.28
GObp_5,490,19,0.656,0.632,0.731,0.291
GObp_5,500,20,0.64,0.619,0.712,0.255
pubmed_15,10,0,0.548,0.507,0.679,0.02
pubmed_15,20,1,0.581,0.544,0.695,0.112
pubmed_15,30,1,0.597,0.57,0.689,0.157
pubmed_15,40,1,0.559,0.531,0.661,0.07
pubmed_15,50,1,0.532,0.503,0.642,0.007
pubmed_15,60,1,0.543,0.509,0.661,0.021
pubmed_15,70,1,0.565,0.528,0.682,0.071
pubmed_15,80,2,0.608,0.577,0.704,0.181
pubmed_15,90,3,0.57,0.542,0.669,0.095
pubmed_15,100,4,0.613,0.592,0.69,0.197
pubmed_15,110,4,0.618,0.595,0.698,0.208
pubmed_15,120,4,0.575,0.551,0.667,0.111
pubmed_15,130,5,0.575,0.549,0.669,0.11
pubmed_15,140,6,0.586,0.561,0.675,0.135
pubmed_15,150,6,0.565,0.541,0.655,0.089
pubmed_15,160,6,0.575,0.552,0.664,0.113
pubmed_15,170,7,0.575,0.552,0.664,0.113
pubmed_15,180,8,0.554,0.53,0.647,0.065
pubmed_15,190,8,0.64,0.617,0.715,0.255
pubmed_15,200,9,0.543,0.518,0.641,0.039
pubmed_15,210,9,0.543,0.517,0.644,0.037
pubmed_15,220,9,0.613,0.592,0.69,0.197
pubmed_15,230,9,0.613,0.588,0.697,0.195
pubmed_15,240,9,0.602,0.573,0.697,0.169
pubmed_15,250,10,0.602,0.577,0.689,0.171
pubmed_15,260,10,0.645,0.618,0.727,0.268
pubmed_15,270,10,0.608,0.581,0.697,0.182
pubmed_15,280,10,0.608,0.581,0.697,0.182
pubmed_15,290,10,0.602,0.575,0.694,0.169
pubmed_15,300,10,0.613,0.587,0.7,0.194
pubmed_15,310,10,0.597,0.57,0.689,0.157
pubmed_15,320,11,0.602,0.575,0.694,0.169
pubmed_15,330,11,0.624,0.598,0.708,0.219
pubmed_15,340,11,0.613,0.587,0.7,0.194
pubmed_15,350,11,0.634,0.607,0.719,0.243
pubmed_15,360,11,0.645,0.619,0.725,0.268
pubmed_15,370,12,0.634,0.607,0.719,0.243
pubmed_15,380,12,0.586,0.559,0.68,0.133
pubmed_15,390,13,0.645,0.619,0.725,0.268
pubmed_15,400,14,0.645,0.618,0.727,0.268
pubmed_15,410,14,0.64,0.615,0.72,0.255
pubmed_15,420,15,0.661,0.635,0.739,0.305
pubmed_15,430,15,0.651,0.631,0.719,0.279
pubmed_15,440,15,0.64,0.619,0.712,0.255
pubmed_15,450,15,0.629,0.605,0.709,0.231
pubmed_15,460,17,0.629,0.608,0.704,0.232
pubmed_15,470,18,0.661,0.636,0.736,0.304
pubmed_15,480,18,0.656,0.632,0.731,0.291
pubmed_15,490,21,0.634,0.615,0.704,0.244
pubmed_15,500,21,0.64,0.62,0.71,0.256
GOmf_90,10,0,0.478,0.467,0.549,-0.068
GOmf_90,20,0,0.586,0.552,0.693,0.128
GOmf_90,30,0,0.613,0.588,0.697,0.195
GOmf_90,40,0,0.527,0.505,0.621,0.01
GOmf_90,50,0,0.565,0.545,0.646,0.095
GOmf_90,60,0,0.554,0.535,0.634,0.074
GOmf_90,70,1,0.548,0.529,0.632,0.061
GOmf_90,80,1,0.532,0.509,0.627,0.02
GOmf_90,90,1,0.538,0.513,0.636,0.028
GOmf_90,100,1,0.532,0.503,0.642,0.007
GOmf_90,110,1,0.548,0.523,0.647,0.05
GOmf_90,120,1,0.538,0.508,0.648,0.018
GOmf_90,130,1,0.559,0.531,0.661,0.07
GOmf_90,140,1,0.602,0.573,0.697,0.169
GOmf_90,150,2,0.57,0.541,0.672,0.093
GOmf_90,160,2,0.57,0.543,0.667,0.097
GOmf_90,170,2,0.581,0.555,0.672,0.122
GOmf_90,180,3,0.543,0.519,0.638,0.042
GOmf_90,190,3,0.581,0.558,0.667,0.125
GOmf_90,200,3,0.57,0.543,0.667,0.097
GOmf_90,210,3,0.575,0.551,0.667,0.111
GOmf_90,220,4,0.597,0.572,0.684,0.159
GOmf_90,230,5,0.591,0.566,0.681,0.147
GOmf_90,240,5,0.602,0.576,0.692,0.17
GOmf_90,250,5,0.586,0.56,0.678,0.134
GOmf_90,260,6,0.586,0.561,0.675,0.135
GOmf_90,270,6,0.575,0.551,0.667,0.111
GOmf_90,280,6,0.575,0.551,0.667,0.111
GOmf_90,290,6,0.581,0.555,0.672,0.122
GOmf_90,300,6,0.591,0.566,0.681,0.147
GOmf_90,310,6,0.586,0.561,0.675,0.135
GOmf_90,320,6,0.575,0.551,0.667,0.111
GOmf_90,330,6,0.591,0.566,0.681,0.147
GOmf_90,340,7,0.618,0.594,0.7,0.207
GOmf_90,350,7,0.597,0.572,0.684,0.159
GOmf_90,360,7,0.634,0.61,0.714,0.243
GOmf_90,370,7,0.645,0.621,0.723,0.267
GOmf_90,380,8,0.613,0.591,0.692,0.196
GOmf_90,390,9,0.608,0.585,0.689,0.184
GOmf_90,400,10,0.613,0.591,0.692,0.196
GOmf_90,410,10,0.613,0.591,0.692,0.196
GOmf_90,420,11,0.618,0.597,0.695,0.208
GOmf_90,430,11,0.618,0.597,0.695,0.208
GOmf_90,440,11,0.608,0.583,0.692,0.183
GOmf_90,450,11,0.608,0.583,0.692,0.183
GOmf_90,460,12,0.602,0.577,0.689,0.171
GOmf_90,470,13,0.608,0.582,0.695,0.182
GOmf_90,480,14,0.608,0.582,0.695,0.182
GOmf_90,490,15,0.624,0.599,0.706,0.219
